alpha_g,alpha_l,rho_wood,c_wood_mm_per_microsecond
1.6699406628287422e-03,9.9833005933717123e-01,1.3662829563137952e+03,2.4514091930105908e-01
1.6816742928377076e-03,9.9831832570716228e-01,1.3662669118837721e+03,2.4431542201660586e-01
1.6934406733817408e-03,9.9830655932661827e-01,1.3662508226710461e+03,2.4349595808830907e-01
1.7052396883314152e-03,9.9829476031166864e-01,1.3662346888344109e+03,2.4268246527481768e-01
1.7170712212352180e-03,9.9828292877876479e-01,1.3662185105331009e+03,2.4187488217518449e-01
1.7289351553206949e-03,9.9827106484467931e-01,1.3662022879267899e+03,2.4107314821503859e-01
1.7408313734956066e-03,9.9825916862650443e-01,1.3661860211755886e+03,2.4027720363302305e-01
1.7527597583490823e-03,9.9824724024165090e-01,1.3661697104400423e+03,2.3948698946749317e-01
1.7647201921527783e-03,9.9823527980784721e-01,1.3661533558811323e+03,2.3870244754346792e-01
1.7767125568620434e-03,9.9822328744313793e-01,1.3661369576602710e+03,2.3792352045983112e-01
1.7887367341170785e-03,9.9821126326588294e-01,1.3661205159393028e+03,2.3715015157677596e-01
1.8007926052441081e-03,9.9819920739475587e-01,1.3661040308805000e+03,2.3638228500348715e-01
1.8128800512565520e-03,9.9818711994874343e-01,1.3660875026465642e+03,2.3561986558605649e-01
1.8249989528561967e-03,9.9817500104714385e-01,1.3660709314006222e+03,2.3486283889562667e-01
1.8371491904343778e-03,9.9816285080956557e-01,1.3660543173062249e+03,2.3411115121675791e-01
1.8493306440731550e-03,9.9815066935592689e-01,1.3660376605273477e+03,2.3336474953601322e-01
1.8615431935464983e-03,9.9813845680645352e-01,1.3660209612283857e+03,2.3262358153075771e-01
1.8737867183214740e-03,9.9812621328167850e-01,1.3660042195741541e+03,2.3188759555816663e-01
1.8860610975594378e-03,9.9811393890244060e-01,1.3659874357298868e+03,2.3115674064443845e-01
