timestep,min_pres,x,y,z
338,101261.0,0.831365,0.0009375,
339,101262.0,0.836089,0.0009375,
340,101263.0,0.836089,0.0009375,
341,101264.0,0.840872,0.0009375,
342,101264.0,0.840872,0.0009375,
343,101265.0,0.845713,0.0009375,
344,101266.0,0.850614,0.0009375,
345,101266.0,0.850614,0.0009375,
346,101267.0,0.855575,0.0009375,
347,101267.0,0.855575,0.0009375,
348,101268.0,0.860597,0.0009375,
349,101269.0,0.860597,0.0009375,
350,101269.0,0.865681,0.0009375,
351,44821.6,-0.355312,0.0009375,
352,-1035630.0,-0.353437,0.0009375,
353,-1332040.0,-0.360937,0.0009375,
354,-1164640.0,-0.372187,0.0009375,
355,-908123.0,-0.409687,0.0009375,
356,-663044.0,-0.426562,0.0009375,
357,-471202.0,-0.445312,0.0009375,
358,-99115.6,-0.456562,0.0009375,
359,-21663.7,-0.323437,0.0740625,
360,-6661.71,-0.319687,0.0853125,
361,7114.36,-0.314062,0.0946875,
362,25858.9,-0.310312,0.105938,
363,34182.1,-0.299062,0.113438,
364,41898.6,-0.293437,0.122813,
365,67248.4,-0.287812,0.132188,
366,64671.6,-0.285937,0.145312,
367,74481.8,-0.278437,0.152812,
368,-103636.0,-0.445312,0.0009375,
369,79700.3,-0.263437,0.171562,
370,77637.5,-0.257812,0.180937,
371,73496.9,-0.250312,0.190312,
372,68020.9,-0.240937,0.199687,
373,58504.0,-0.233437,0.207187,
374,50872.1,-0.225937,0.214687,
375,36931.6,-0.212812,0.220312,
376,25802.2,-0.203437,0.225937,
377,12860.4,-0.195937,0.235312,
378,-778.003,-0.188437,0.242812,
379,-9236.36,-0.177187,0.248437,
380,-19507.5,-0.165937,0.254062,
381,-35747.6,-0.156562,0.257812,
382,-53453.8,-0.143437,0.257812,
383,-69982.8,-0.132187,0.261562,
384,-83782.6,-0.120937,0.267187,
385,-96586.2,-0.109687,0.269062,
386,-111733.0,-0.0984375,0.270937,
387,-123249.0,-0.0871875,0.276562,
388,-135259.0,-0.0759375,0.274687,
389,-148413.0,-0.0628125,0.274687,
390,-166473.0,-0.0515625,0.276562,
